location,type,playplace,drive-thur,,
91-18 BEACH CHANNEL DR ROCKAWAY BEACH NY 11693 ,FREE STANDING,TRUE,TRUE,40.58884615,-73.81662322
606 NEPTUNE AVE   WEST 6TH ST BROOKLYN NY 11224 ,FREE STANDING,FALSE,TRUE,40.579747,-73.97597608
2795 RICHMOND AVE STATEN ISLAND NY 10314 ,STOREFRONT,FALSE,FALSE,40.57928773,-74.16933895
2154 HYLAN BLVD STATEN ISLAND NY 10306 ,FREE STANDING,TRUE,TRUE,40.57786515,-74.10234705
1403 MERMAID AVENUE BROOKLYN NY 11224 ,FREE STANDING,FALSE,FALSE,40.57696833,-73.98178328
753 ST GEORGES AVE WOODBRIDGE TOWNSHIP NJ 07095-3157 ,FREE STANDING,FALSE,TRUE,40.56628936,-74.28756662
3267 RICHMOND AVE STATEN ISLAND NY 10312 ,STOREFRONT,TRUE,FALSE,40.5594867,-74.16954587
330 RT 9 N WOODBRIDGE NJ 07095 ,FREE STANDING,TRUE,TRUE,40.53650263,-74.2962232
633 NEW BRUNSWICK AVE PERTH AMBOY NJ 08861 ,FREE STANDING,FALSE,TRUE,40.52085551,-74.28526381
260 PAGE AVENUE STATEN ISLAND NY 10307 ,FREE STANDING,FALSE,TRUE,40.51744691,-74.23431549
970 RT 9 SOUTH AMBOY NJ 08879 ,FREE STANDING,TRUE,TRUE,40.46085143,-74.2957034
