location,type,playplace,drive-thur,lat,long
741 GRAND ST,STOREFRONT,TRUE,FALSE,40.71455047,-74.00713891
652 MEEKER AVE @ KINGSLAND,FREE STANDING,FALSE,TRUE,40.71455047,-74.00713891
428 KNICKERBOCKER AVE,STOREFRONT,FALSE,FALSE,40.71455047,-74.00713891
4040 BROADWAY & 170,STOREFRONT,TRUE,FALSE,40.71455047,-74.00713891
4259 BROADWAY,STOREFRONT,FALSE,FALSE,40.71455047,-74.00713891
819 PENNSYLVANIA AVE,FREE STANDING,TRUE,TRUE,40.71455047,-74.00713891
2800 ATLANTIC AVE,FREE STANDING,FALSE,TRUE,40.71455047,-74.00713891
15 JAMAICA AVE,FREE STANDING,FALSE,TRUE,40.71455047,-74.00713891
1642 PITKIN AVE,STOREFRONT,FALSE,FALSE,40.71455047,-74.00713891
3143 ATLANTIC AVE,FREE STANDING,FALSE,TRUE,40.71455047,-74.00713891
208 DYCKMAN ST,STOREFRONT,FALSE,FALSE,40.71455047,-74.00713891
2152 LEMOINE AVENUE,FREE STANDING,FALSE,TRUE,40.71455047,-74.00713891
75-50 101ST AVE-QUEENS,FREE STANDING,TRUE,TRUE,40.71455047,-74.00713891
701 UTICA AVE,FREE STANDING,TRUE,TRUE,40.7187061,-74.00096775
1872 3RD AVE. @ 103RD STREET,STOREFRONT,FALSE,FALSE,40.71871775,-73.98838246
ATLANTIC TERMINAL,MALL,FALSE,FALSE,40.71961958,-73.84516306
